"REALINC","REALRINC","WRKSTAT","HRS1","WRKSLF","OCC10","INDUS10","MARITAL","DIVORCE","WIDOWED","SPWRKSTA","SPWRKSLF","SPOCC10","SPIND10","PAWRKSLF","PAOCC10","SIBS","CHILDS","AGE","EDUC","PAEDUC","MAEDUC","SPEDUC","SEX","RACE","RES16","REG16","MOBILE16","FAMILY16","INCOM16","BORN","PARBORN","GRANBORN","HOMPOP","BABIES","PRETEEN","TEENS","ADULTS","UNRELAT","EARNRS","REGION","RELIG","ATTEND","RELIG16","FUND16","SPREL","RACLIVE","HEALTH","WKSUB","WKSUBS","WKSUP","UNEMP","OWNGUN","PHONE","PARTNERS","PASEI10","PRESTG10","SEI10","SPPRES10","SPSEI10","YEAR","ID_","CLASS_","UNION_","ETH1"
37500,21250,"1",40,0,"23","47","1",0,0,"1",0,"47","47",0,"77",5,0,33,16,4,10,18,0,"2","6","5","1","1",3,1,"0","0",2,0,0,0,2,0,2,"5","1",7,"1","1","1",1,"1",1,1,1,NA,"2",3,NA,33.9,61,71.7,38,43,1987,"306","2","1","1"
37500,27500,"1",40,0,"65","55","1",0,0,"1",0,"55","55",0,"64",5,0,35,9,6,12,12,1,"1","5","5","2","1",3,1,"0","4",2,0,0,0,2,0,2,"5","1",2,"1","3","2",0,"2",1,1,0,NA,"2",3,NA,36.2,35,34.1,32,38.2,1987,"316","2","1","11"
55000,45000,"1",40,0,"77","77","1",0,0,"3",0,"77","77",0,"20",3,2,46,12,18,14,12,1,"1","1","5","3","1",3,1,"0","0",2,0,0,0,2,0,2,"5","1",3,"1","1","1",0,"2",1,1,0,NA,"1",3,NA,62.6,35,25,35,25,1987,"318","3","3","14"
55000,32500,"1",44,0,"20","47","1",0,0,"2",1,"47","47",0,"48",0,2,55,17,12,12,17,1,"1","6","4","1","1",4,1,"0","1",2,0,0,0,2,0,2,"4","2",7,"2","2","2",1,"2",1,1,0,NA,"1",3,NA,62,54,62.9,31,39.7,1987,"322","3","1","26"
90278,92594,"1",40,0,"14","23","1",0,0,"2",0,"23","23",0,"14",1,4,56,18,14,10,17,1,"1","6","3","3","1",3,1,"0","2",4,0,0,1,3,0,4,"4","1",3,"1","3","1",0,"1",1,1,0,NA,"1",3,NA,83.8,63,81.6,61,80.9,1987,"323","3","4","26"
90278,55000,"1",40,1,"27","48","1",0,0,"1",0,"48","48",1,"21",2,2,34,16,19,17,14,1,"1","4","4","2","1",5,1,"0","1",4,2,0,0,2,0,2,"4","1",5,"1","2","2",1,"1",0,NA,1,NA,"1",3,NA,91.1,58,72.7,45,62,1987,"325","4","1","9"
45000,4500,"2",30,0,"26","29","1",1,0,"1",1,"29","29",0,"71",4,2,36,14,11,12,16,0,"1","5","4","2","1",3,1,"0","2",4,1,1,0,2,0,3,"4","1",3,"1","2","1",0,"2",1,1,0,NA,"2",3,NA,39,46,61.4,48,51.5,1987,"326","3","4","26"
45000,32500,"1",43,0,"47","57","1",0,0,"1",0,"57","57",0,"91",1,0,34,12,12,12,12,1,"1","5","4","1","1",3,1,"0","0",2,0,0,0,2,0,2,"4","1",0,"1","2","2",0,"1",1,1,0,NA,"2",3,NA,32,38,43,47,38.8,1987,"333","3","1","19"
23750,11250,"1",42,0,"36","55","1",0,0,"5",0,"55","55",1,"20",2,5,61,12,8,12,13,0,"1","2","4","2","1",2,1,"1","3",2,0,0,0,2,0,1,"4","1",2,"1","1","1",0,"1",1,0,0,NA,"2",3,NA,39.9,43,35.5,45,58.4,1987,"334","2","4","26"
45000,27500,"1",45,0,"14","14","1",0,0,"1",0,"14","14",0,"53",10,0,36,14,16,12,14,1,"1","4","4","1","1",2,1,"0","0",4,0,1,1,2,0,2,"4","2",7,"2","2","2",0,"2",1,1,0,NA,"2",3,NA,32,63,81.6,63,81.6,1987,"335","3","4","14"
32500,21250,"1",40,0,"48","48","1",0,0,"3",0,"48","48",0,"10",6,0,32,16,16,12,16,1,"1","3","1","3","3",5,1,"2","2",2,0,0,0,2,0,2,"5","1",4,"1","1","1",1,"1",1,1,1,NA,"1",3,NA,77.4,58,71,58,71,1987,"337","4","4","10"
90278,32500,"1",50,1,"85","14","1",0,0,"1",0,"14","14",1,"47",1,2,46,12,12,12,16,0,"1","6","5","1","1",3,1,"0","2",2,0,0,0,2,0,2,"5","3",3,"3","3","3",1,"1",0,NA,1,NA,"2",3,NA,43,63,79.3,63,81.6,1987,"344","4","4","23"
55000,32500,"1",40,0,"71","23","1",1,0,"1",0,"23","23",1,"47",2,1,54,17,16,15,12,1,"1","5","1","3","1",3,1,"0","3",2,0,0,0,2,0,2,"5","3",4,"3","3","3",1,"2",1,1,1,NA,"1",3,NA,57.5,56,53.6,64,82.5,1987,"346","3","4","33"
55000,37500,"1",40,0,"21","21","1",0,0,"1",0,"21","21",1,"49",0,2,33,16,16,16,16,1,"2","6","5","1","1",4,1,"0",NA,4,1,1,0,2,0,2,"5","1",7,"2","2","1",1,"1",1,0,1,NA,"1",3,NA,56.9,69,91.1,69,91.1,1987,"347","3","4","1"
23750,21250,"1",48,0,"62","36","1",1,0,"1",0,"36","36",1,"47",2,2,51,12,11,11,12,1,"1","1","5","2","1",3,1,"0","0",3,0,0,0,3,0,2,"5","1",4,"1","1","1",0,"1",0,NA,0,NA,"1",3,NA,57.5,49,46,43,35.5,1987,"355","3","4","11"
90278,32500,"1",49,0,"56","63","1",1,0,"1",0,"63","63",0,"30",2,0,28,13,18,16,16,0,"1","4","5","2","1",3,1,"0","0",2,0,0,0,2,0,2,"5","1",4,"1","2","1",1,"2",1,1,1,NA,"1",3,NA,92,40,49.4,47,65.3,1987,"358","3","3","11"
90278,45000,"1",48,0,"72","52","1",1,0,"1",0,"52","52",0,"96",3,3,49,12,9,12,14,1,"1","4","2","1","1",3,1,"8","4",2,0,0,0,2,0,2,"2","3",4,"1","3","3",1,"2",1,1,0,NA,"2",3,NA,43.4,45,31.2,31,37.6,1987,"361","3","1","24"
NA,3500,"2",40,1,"51","10","1",0,0,"1",0,"10","10",0,"89",1,2,45,19,12,8,16,0,"1","4","2","1","1",2,1,"0","2",3,0,0,1,2,0,3,"2","2",7,"2","2","2",1,"1",1,0,0,NA,"1",3,NA,26.8,45,38.3,72,77.4,1987,"366","3","4","21"
90278,45000,"1",64,0,"77","32","1",0,0,"2",0,"32","32",1,"47",1,3,45,12,8,10,14,1,"1","6","2","1","1",5,1,"0","4",5,0,0,2,3,0,3,"2","2",7,"2","2","2",1,"2",1,1,1,NA,"2",3,NA,43,50,46.5,64,84.2,1987,"370","3","3","15"
90278,16250,"3",NA,0,"32","86","1",0,0,"1",0,"86","86",1,"21",4,3,36,14,19,16,12,0,"1","4","2","1","1",5,1,"0","2",5,1,2,0,2,0,2,"2","3",3,"3","3","2",0,"2",1,1,1,NA,"1",3,NA,91.1,64,84.2,47,50,1987,"381","3","4","11"
