"PARTYID","POLVIEWS","NATROAD","NATSOC","NATMASS","NATPARK","EQWLTH","TAX","SPKATH","COLATH","LIBATH","SPKRAC","COLRAC","LIBRAC","SPKCOM","COLCOM","LIBCOM","SPKMIL","COLMIL","LIBMIL","SPKHOMO","COLHOMO","LIBHOMO","CAPPUN","GUNLAW","COURTS","HELPFUL","FAIR","TRUST","CONFINAN","CONBUS","CONCLERG","CONEDUC","CONFED","CONLABOR","CONPRESS","CONMEDIC","CONTV","CONJUDGE","CONSCI","CONLEGIS","CONARMY","OBEY","POPULAR","THNKSELF","WORKHARD","HELPOTH","GETAHEAD","ABDEFECT","ABNOMORE","ABHLTH","ABPOOR","ABRAPE","ABANY","XMARSEX","HOMOSEX","POLHITOK","POLABUSE","POLMURDR","POLESCAP","POLATTAK","HELPPOOR","HELPNOT","HELPSICK","HELPBLK","YEAR","ID_","CLASS_"
"7",1,"2","2","1","2",1,"2",1,1,0,1,1,1,1,0,0,1,1,0,1,1,0,0,1,"1","2","2","1","1","1","3","2","3","3","1","1","3","2","1","1","2",5,3,1,4,2,"3",1,1,1,1,1,1,"4","4",1,0,0,1,1,1,2,2,1,1987,"209","3"
"1",1,"1","2","1","1",3,"1",1,1,0,1,1,0,1,0,0,1,1,0,1,1,0,1,1,"3","2","3","3","2","2","3","2","2","2","2","2","3","1","2","2","2",5,2,1,4,3,"2",1,1,1,1,1,1,"2","4",1,0,0,1,1,3,2,1,3,1987,"210","3"
"1",4,"2","1","2","2",4,"2",1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,"2","1","1","1","1","2","1","1","2","2","2","1","2","1","1","1","1",4,5,2,3,1,"2",1,0,1,0,1,0,"1",NA,1,0,0,NA,1,3,3,3,4,1987,"228","3"
"0",4,"1","2","3","2",5,"1",0,0,1,NA,NA,0,0,1,0,0,0,1,0,0,0,1,0,"2","2","2","2","3","2","2","2","3","3","2","2","2","3","1","2","2",5,4,3,1,2,"1",1,1,1,0,0,0,"2","3",1,1,0,1,1,3,3,2,4,1987,"229","2"
"5",4,"3","1","2","2",3,"1",1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,1,"2","1","1","2","2","1","2","1","2","1","1","2","3","1","2","2","1",5,2,1,4,3,"1",1,0,1,0,1,0,"1","1",1,0,0,1,1,2,4,2,5,1987,"231","2"
"4",4,"2","2","2","2",4,"1",1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,1,"2","1","2","1","1","2","2","2","1","3","2","1","2","1","1","2","1",5,4,2,3,1,"1",0,0,1,0,0,0,"1","1",1,0,0,1,1,3,2,2,3,1987,"234","3"
"4",6,"2","1","2","2",3,"2",1,1,1,1,1,0,1,0,0,1,1,0,1,1,0,1,0,"2","1","1","2","2","1","1","1","2","1","2","1","3","1","2","2","1",3,5,1,2,4,"1",1,0,1,0,1,0,"1","1",1,0,0,1,1,3,4,2,3,1987,"236","3"
"6",4,"2","3","2","2",7,"1",1,1,0,1,0,0,1,1,0,1,1,0,1,1,0,1,1,"2","1","2","1","2","2","2","3","2","2","2","2","2","2","2","2","2",3,5,1,2,4,"3",1,1,1,1,1,1,"2","2",1,0,0,1,1,4,5,3,2,1987,"237","3"
"3",4,"3","1","2","2",5,"1",1,0,1,1,0,1,0,1,1,0,0,1,0,0,1,1,0,"2","1","2","1","2","2","2","2","2","3","2","2","2","2","2","2","2",2,5,4,3,1,"1",0,0,0,0,0,0,"1","1",1,0,0,1,1,4,5,3,5,1987,"239","2"
"5",6,"1","2","1","2",6,"2",1,1,0,1,1,0,1,0,0,1,1,0,1,1,0,1,1,"2","1","2","1","1","2","1","2","1","2","2","1","3","2","1","2","1",4,5,1,2,3,"1",0,0,1,0,0,0,"1","1",1,0,0,1,1,4,4,2,3,1987,"252","3"
"1",5,"1","2","1","1",7,"3",1,1,0,1,1,0,1,1,0,1,0,0,1,0,0,1,1,"2","1","2","1","2","2","2","2","2","3","2","1","2","2","2","2","3",4,5,1,2,3,"1",1,1,1,1,1,1,"2","4",1,0,0,1,1,4,3,3,4,1987,"254","3"
"0",3,"1","2","2","1",4,"1",1,NA,0,1,1,0,1,1,0,1,1,0,1,0,0,1,0,"2","1","1","1","1","1","1","2","3","3","2","2","2","1","1","2","2",5,4,1,2,3,"3",1,1,1,0,1,1,"3","1",1,0,0,1,1,4,3,1,3,1987,"260","3"
"5",6,"2","1","1","2",2,"1",1,0,0,1,1,0,1,1,0,0,0,1,0,1,1,1,0,"2","2","1","1","1","3","2","2","2","2","3","2","2","2","1","2","2",2,5,4,3,1,"3",1,1,1,0,1,1,"1","1",0,0,0,0,1,4,3,3,3,1987,"262","3"
"4",5,"2","2","2","2",3,"1",1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,"3","1","2","1","2","2","1","3","2","3","3","2","3","2","2","2","2",4,5,2,3,1,"3",1,0,1,0,1,0,"1","3",1,0,0,1,1,2,2,2,3,1987,"264","2"
"2",1,"2","1","2","1",1,"1",1,1,0,0,1,1,1,0,0,1,1,1,1,1,0,1,1,"2","1","2","1","1","1","2","2","2","2","1","1","2","1","1","2","3",5,4,2,1,3,"1",1,0,1,0,1,1,"1","4",0,0,0,0,0,3,2,2,5,1987,"273","2"
"1",2,"1","3",NA,"1",5,"1",1,1,0,1,1,0,1,0,0,1,1,0,1,1,0,0,0,"1","2","2","1","2","2","3","2","3","2","2","2","3","2","2","3","3",3,5,1,2,4,"1",1,1,1,1,1,1,"3","4",1,0,0,1,1,3,2,1,2,1987,"277","3"
"4",4,"2","2","1","2",3,"2",1,1,0,1,1,0,1,0,0,1,1,0,1,1,0,1,1,"2","2","1","2","1","2","2","2","2","2","2","2","2","1","2","2","2",4,5,1,2,3,"1",1,1,1,1,1,1,"1","1",1,0,0,1,1,3,3,2,4,1987,"278","3"
"2",3,"1","2","1","2",4,"2",1,1,0,1,1,0,1,0,0,1,1,0,1,1,0,1,1,"2","2","1","1","3","1","3","2","2","2","1","1","2","1","1","3","3",4,5,1,2,3,"1",1,1,1,1,1,1,"1","4",1,0,0,1,1,3,4,4,2,1987,"279","2"
"6",6,"2","2","3",NA,5,"1",0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,1,1,"2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1",5,4,1,2,3,"2",1,1,1,1,1,NA,"1","1",1,1,0,1,1,4,4,4,4,1987,"295","3"
"5",4,"2","2","2","1",5,"2",1,1,0,1,0,0,1,1,0,1,1,0,1,1,0,1,1,"2","1","2","1","2","2","2","2","3","3","2","2","2","1","1","2","2",4,5,1,2,3,"1",1,1,1,1,1,1,"2","2",1,0,0,1,1,4,4,3,4,1987,"296","4"
"6",7,"3","3","3","2",6,"1",1,1,0,1,1,0,1,1,0,1,0,0,1,0,0,1,1,"2","1","2","1","1","1","1","1","3","3","2","1","3","1","1","3","2",4,5,2,3,1,"1",1,1,1,1,1,1,"1","1",1,0,0,1,1,4,5,5,3,1987,"299","4"
"0",5,"1","1","2","1",3,"1",1,1,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,"2","1","1","2","1","1","2","2","2","2","1","1","2","1","1","1","1",3,5,1,2,4,"1",1,1,1,0,1,0,"1","1",1,0,0,1,1,3,1,3,5,1987,"300","3"
"1",4,"2","1","2","2",2,"1",1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,"2","2","1","2","2","3","3","3","3","2","2","1","3","1","1","2","1",2,5,1,3,4,"3",1,0,1,0,1,0,"1","1",1,0,0,0,1,3,1,3,3,1987,"306","2"
"0",5,"1","3","3","2",2,"1",0,0,1,0,0,1,0,1,1,0,0,1,1,1,0,1,1,"2","2","1","2","2","3","2","3","2","2","2","1","2","3","3","3","2",1,4,2,5,3,"3",1,1,1,1,1,1,"1","1",1,0,0,1,1,1,5,2,3,1987,"316","2"
"2",4,"1","1","3","2",3,"1",0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,1,0,"2","1","2","1","2","3","2","1","3","2","3","2","2","2","2","2","1",1,5,2,4,3,"1",1,1,1,1,1,1,"1","1",1,0,0,1,1,3,4,3,4,1987,"318","3"
"3",6,"1","2","2","2",3,"2",1,1,0,1,1,0,1,0,0,1,1,0,1,1,0,1,1,"2","2","1","2","2","2","2","2","3","2","3","1","2","2","2","2","2",4,2,1,5,3,"2",0,0,0,0,0,0,"1","4",1,0,0,1,1,3,3,3,4,1987,"322","3"
"6",6,"2","2","2","2",7,"1",1,1,0,1,1,0,1,0,0,1,1,0,1,1,0,1,0,"2","1","2","1","1","1","1","1","1","2","2","1","2","1","1","2","1",4,5,1,2,3,"3",1,0,1,0,1,0,"1","1",1,0,0,1,1,4,4,4,4,1987,"323","3"
