"","PARTYID","TAX","FUND","HAPPY","LIFE","SATJOB","SATFIN","FINALTER","XMOVIE","FEAR","PISTOL","SHOTGUN","RIFLE","PHONE","YEAR","ID_","CLASS_"
"220","5","2","2","2","2","3","3","1",0,0,"2","2","2","3",1987,"252","3"
"221","1","3","2","2","1","2","1","1",1,0,"2","2","2","3",1987,"254","3"
"222","3","1","2","2","2","2","2","3",1,0,"2","2","2","3",1987,"255","2"
"223","5","3","3",NA,"1","2","1","1",1,0,"2","2","2","3",1987,"257","3"
"224","0","1","2","2","2",NA,"1","1",1,0,"2","2","2","3",1987,"260","3"
"225","5","1","2","2","2","2","2","3",0,0,"2","1","2","3",1987,"262","3"
"226","1","1","3","1","2","3","3","1",1,0,"2","2","2","3",1987,"263","2"
"227","4","1","2","2","2","3","2","3",0,0,"2","2","2","3",1987,"264","2"
"228","2","1","3","2","2","3","2","1",1,1,"2","1","2","3",1987,"273","2"
"229","1","1","3","2","2","1","1","1",1,0,"2","2","1","3",1987,"277","3"
"230","4","2","2","2","1","1","2","1",0,0,"2","2","2","3",1987,"278","3"
"231","2","2","3","2","2","3","3","1",0,0,"2","2","2","3",1987,"279","2"
"232","6","1","3","1","2","1","2","2",0,0,"2","2","2","3",1987,"295","3"
"233","5","2","3","1","2","3","2","1",0,0,"2","2","2","3",1987,"296","4"
"234","6","1","1","1","1","1","1","1",0,0,"2","2","2","3",1987,"299","4"
"235","0","1","2","1","1","1","1","3",0,0,"1","1","1","3",1987,"300","3"
"236","2","2","1","2","1","3","2","1",0,0,"1","1","1","3",1987,"303","2"
"237","1","1","1","2","1","3","2","3",1,0,"2","2","2","3",1987,"306","2"
"238","1","1","1","2","2","2","1","1",0,1,"2","2","2","2",1987,"312","3"
"239","0","1","3","3","2","3","2","3",0,0,"2","2","2","3",1987,"316","2"
"240","2","1","1","3","2","2","2","3",1,0,"2","1","2","3",1987,"318","3"
"241","3","2","2","2","2","2","1","1",0,0,"1","2","1","3",1987,"322","3"
"242","6","1","3","1","2","2","1","1",0,0,"2","2","2","3",1987,"323","3"
"243","5","1","2","2","1","1","1","1",1,0,"2","1","2","3",1987,"325","4"
"244","2","1","2","1","1","1","2","1",0,0,"2","2","2","3",1987,"326","3"
"245","1","1","2","2","2","3","1","1",1,0,"2","2","2","3",1987,"327","3"
"246","0","1","2","2","2","1","2","3",0,1,"2","1","2","3",1987,"332","3"
"247","0","1","2","1","2","1","2","3",1,0,"2","2","2","3",1987,"333","3"
"248","0","1","2","2","2","2","2","3",0,1,"2","2","2","3",1987,"334","2"
"249","1","1","2","2","2","3","2","1",0,0,"2","2","2","3",1987,"335","3"
"250","3","2","3","1","1","1","2","1",0,0,"1","2","2","3",1987,"337","4"
"251","1","1","3","2","1","1","1","1",0,0,"2","2","2","3",1987,"344","4"
"252","4","1","3","2","2","1","2","1",0,0,"1","1","1","3",1987,"346","3"
"253","2","1","1","2","2","1","1","1",0,0,"1","2","2","3",1987,"347","3"
"254","1","1","1","1","1","1","2","2",0,0,"1","1","1","3",1987,"355","3"
"255","0","1","2","2","2","2","1","1",1,0,"1","1","1","3",1987,"358","3"
